,Postal Code,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Summary,Venue Category,Distance
0,M1J,Scarborough Village,43.7447342,-79.23947609999998,Diamond Pizza,This spot is popular,Pizza Place,530
1,M1J,Scarborough Village,43.7447342,-79.23947609999998,Tim Hortons,This spot is popular,Coffee Shop,640
2,M1J,Scarborough Village,43.7447342,-79.23947609999998,Dairy Queen,This spot is popular,Ice Cream Shop,617
3,M1J,Scarborough Village,43.7447342,-79.23947609999998,Dairy Queen,This spot is popular,Ice Cream Shop,607
4,M1J,Scarborough Village,43.7447342,-79.23947609999998,Subway,This spot is popular,Sandwich Place,749
5,M1J,Scarborough Village,43.7447342,-79.23947609999998,Swiss Chalet,This spot is popular,Restaurant,722
6,M1J,Scarborough Village,43.7447342,-79.23947609999998,Stephen's No Frills,This spot is popular,Grocery Store,983
7,M1J,Scarborough Village,43.7447342,-79.23947609999998,Mac's Convenience Store,This spot is popular,Convenience Store,685
8,M1J,Scarborough Village,43.7447342,-79.23947609999998,Nakamori Japanese Restaurant,This spot is popular,Japanese Restaurant,959
9,M1J,Scarborough Village,43.7447342,-79.23947609999998,All Star Interactive,This spot is popular,Bowling Alley,983
10,M1J,Scarborough Village,43.7447342,-79.23947609999998,Eglinton GO Station,This spot is popular,Train Station,805
11,M1J,Scarborough Village,43.7447342,-79.23947609999998,McDonald's,This spot is popular,Fast Food Restaurant,640
12,M1R,Wexford,43.7500715,-79.2958491,Pho Metro,This spot is popular,Vietnamese Restaurant,535
13,M1R,Wexford,43.7500715,-79.2958491,Diana's Seafood Delight,This spot is popular,Fish Market,588
14,M1R,Wexford,43.7500715,-79.2958491,Crown Pastries,This spot is popular,Bakery,492
15,M1R,Wexford,43.7500715,-79.2958491,Pili Pili Toronto,This spot is popular,African Restaurant,619
16,M1R,Wexford,43.7500715,-79.2958491,Makkalchon Korean Restaurant 맛깔촌,This spot is popular,Korean Restaurant,573
17,M1R,Wexford,43.7500715,-79.2958491,Arz Fine Foods,This spot is popular,Supermarket,802
18,M1R,Wexford,43.7500715,-79.2958491,Ibrahim BBQ,This spot is popular,Middle Eastern Restaurant,637
19,M1R,Wexford,43.7500715,-79.2958491,Shawarma Empire,This spot is popular,Middle Eastern Restaurant,971
20,M1R,Wexford,43.7500715,-79.2958491,Diana's Oyster Bar & Grill,This spot is popular,Seafood Restaurant,600
21,M1R,Wexford,43.7500715,-79.2958491,Patna Kebab House,This spot is popular,Indian Restaurant,865
